Authors,Source,Title,Year,Thermal transformation span (TSPAN) - (AF-MF) - (°C),Calculated Density (g/cm^3),Cu (at.%),composition,Al (at.%),Mn (at.%)
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.4,7.01657,63.8,Cu63.8Al28.9Mn7.3 %,28.9,7.3
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.7,7.10407,64.9,Cu64.9Al27.4Mn7.7 %,27.4,7.7
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,41.2,7.20836,66.5,Cu66.5Al25.7Mn7.8 %,25.7,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,41.2,7.20836,66.5,Cu66.5Al25.7Mn7.8 %,25.7,7.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.7,7.25812,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.7,7.25812,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,42.7,7.25812,67.3,Cu67.3Al24.9Mn7.8 %,24.9,7.8
Mallik; Sampath,,Effect of composition and ageing on damping characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.8,7.31265,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.8,7.31265,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
Mallik; Sampath,,Influence of aluminum and manganese concentration on the shape memory characteristics of Cu–Al–Mn shape memory alloys,2008.0,38.8,7.31265,68.1,Cu68.1Al24.0Mn7.9 %,24.0,7.9
